provider;plan_name;connection_type;speed;data_cap;price;is_permonth;install_price;deposit_price;device_price;link;notes
Ezecom;EZECOM Corporate 1mbps;ADSL;1;;40;t;;;;https://www.ezecom.com.kh/our-services#corporate-package;
Ezecom;EZECOM Corporate 2mbps;ADSL;2;;80;t;;;;https://www.ezecom.com.kh/our-services#corporate-package;
Ezecom;EZECOM Corporate 3mbps;ADSL;3;;120;t;;;;https://www.ezecom.com.kh/our-services#corporate-package;
Ezecom;EZECOM Corporate 4mbps;ADSL;4;;152;t;;;;https://www.ezecom.com.kh/our-services#corporate-package;
Ezecom;EZECOM Corporate 5mbps;ADSL;5;;190;t;;;;https://www.ezecom.com.kh/our-services#corporate-package;
Ezecom;EZECOM Premium 1mbps;ADSL;1;;33;t;;;;https://www.ezecom.com.kh/our-services#premium-package;
Ezecom;EZECOM Premium 2mbps;ADSL;2;;60;t;;;;https://www.ezecom.com.kh/our-services#premium-package;
Ezecom;EZECOM Premium 3mbps;ADSL;3;;90;t;;;;https://www.ezecom.com.kh/our-services#premium-package;
Ezecom;EZECOM Premium 4mbps;ADSL;4;;108;t;;;;https://www.ezecom.com.kh/our-services#premium-package;
Ezecom;EZECOM Premium 5mbps;ADSL;5;;135;t;;;;https://www.ezecom.com.kh/our-services#premium-package;
Ezecom;EZECOM EzeSurf 3;ADSL;3;;15;t;;0;0;https://www.ezecom.com.kh/our-services#EzeSurf;6 months payment in advance
Ezecom;EZECOM EzeSurf 6;ADSL;6;;27;t;;0;0;https://www.ezecom.com.kh/our-services#EzeSurf;6 months payment in advance
Ezecom;EZECOM EzeSurf 10;ADSL;10;;45;t;;0;0;https://www.ezecom.com.kh/our-services#EzeSurf;6 months payment in advance
Sinet;Fiber Edge;Fiber;10;;40;t;50;;;https://www.sinet.com.kh/internet-solution/fiber-edge/#signup;
Sinet;Fiber Edge+;Fiber;10;;50;t;50;;;https://www.sinet.com.kh/internet-solution/fiber-edge/#signup;
Sinet;Fiber Plus;Fiber;20;;660;f;;;;https://www.sinet.com.kh/internet-solution/fiber-plus/#signup;
Sinet;Fiber Pro;Fiber;50;;1320;f;;;;https://www.sinet.com.kh/internet-solution/fiber-pro/#signup;
Sinet;Fiber One;Fiber;150;;1100;f;;;;https://www.sinet.com.kh/internet-solution/fiber-one/#signup;
OPENNET;Home Lite;ADSL;6;;12;t;10;;;https://www.opennet.com.kh/news/adsl/adsl-home-premium-for-phnompenh/;
OPENNET;Home Basic;ADSL;8;;18;t;10;;;https://www.opennet.com.kh/news/adsl/adsl-home-premium-for-phnompenh/;
OPENNET;Home Advance;ADSL;10;;24;t;10;;;https://www.opennet.com.kh/news/adsl/adsl-home-premium-for-phnompenh/;
OPENNET;Home Pro;ADSL;12;;30;t;10;;;https://www.opennet.com.kh/news/adsl/adsl-home-premium-for-phnompenh/;
OPENNET;F6;Fiber;7;;16;t;50;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
OPENNET;F9;Fiber;10;;23;t;30;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
OPENNET;F12;Fiber;12;;30;t;30;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
OPENNET;B15;Fiber;15;;39;t;30;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
OPENNET;B25;Fiber;25;;66;t;30;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
OPENNET;B35;Fiber;35;;88;t;30;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
OPENNET;B50;Fiber;50;;118;t;30;;;https://www.opennet.com.kh/news/ftth/cambodia-fiber-to-the-home-phnompenh/;
SingMeng Telemedia;Internet 4mbps;Fiber;4;;12;t;35;;;http://smtelemedia.com/sign-up-ftth/?service-name=4+Mbps;No install fee for 12 months payment in advance
SingMeng Telemedia;Internet 6mbps;Fiber;6;;14.99;t;35;;;http://smtelemedia.com/sign-up-ftth/?service-name=6+Mbps;No install fee for 12 months payment in advance
SingMeng Telemedia;Internet 8mbps;Fiber;8;;21.99;t;35;;;http://smtelemedia.com/sign-up-ftth/?service-name=8+Mbps;No install fee for 12 months payment in advance
SingMeng Telemedia;Internet 10mbps;Fiber;10;;28.99;t;35;;;http://smtelemedia.com/sign-up-ftth/?service-name=10+Mbps;No install fee for 12 months payment in advance
SingMeng Telemedia;Internet 12mbps;Fiber;12;;33.99;t;35;;;http://smtelemedia.com/sign-up-ftth/?service-name=12+Mbps;No install fee for 12 months payment in advance
Kingtel;Fiber 10;Fiber;10;;18.99;t;50;;;http://www.kingtel.com.kh/premium_fiber_optichome.html;No install fee for 12 months payment in advance
Kingtel;Fiber 15;Fiber;15;;26.99;t;50;;;http://www.kingtel.com.kh/premium_fiber_optichome.html;No install fee for 12 months payment in advance
Kingtel;Fiber 20;Fiber;20;;35.99;t;50;;;http://www.kingtel.com.kh/premium_fiber_optichome.html;No install fee for 12 months payment in advance
Kingtel;Tam Chet 3;4G LTE+;3;;9.99;t;;50;;http://www.kingtel.com.kh/unlimited-data-traffic.html;
Kingtel;Tam Chet 6;4G LTE+;6;;16.99;t;;50;;http://www.kingtel.com.kh/unlimited-data-traffic.html;
Kingtel;Tam Chet 10;4G LTE+;10;;24.99;t;;50;;http://www.kingtel.com.kh/unlimited-data-traffic.html;
Kingtel;Tam Chet 15;4G LTE+;15;;34.99;t;;50;;http://www.kingtel.com.kh/unlimited-data-traffic.html;
Online;Online 6mbps;ADSL;6;;12;t;;;;https://online.com.kh/contact_us;
Online;Online 8mbps;ADSL;8;;18;t;;;;https://online.com.kh/contact_us;
Online;Online 10mbps;ADSL;10;;24;t;;;;https://online.com.kh/contact_us;
Online;FTTH 7mbps;Fiber;7;;16;t;;;;https://online.com.kh/contact_us;
Online;FTTH 10mbps;Fiber;10;;23;t;;;;https://online.com.kh/contact_us;
Digi;Home Basic 2mpbs;ADSL;2;;12.99;t;12;10;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 4mbps
Digi;Home Basic 3mpbs;ADSL;3;;15.99;t;12;10;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 5mbps
Digi;Home Basic 4mpbs;ADSL;4;;18.99;t;12;10;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 6mbps
Digi;Home Basic 5mpbs;ADSL;5;;26.99;t;12;10;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 7mbps
Digi;Home Premium 4mbps;ADSL;4;;15.99;t;12;20;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 8mbps
Digi;Home Premium 5mbps;ADSL;5;;19.99;t;12;20;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 9mbps
Digi;Home Premium 7mbps;ADSL;7;;29.99;t;12;20;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 11mbps
Digi;Home Premium 9mbps;ADSL;9;;39.99;t;12;20;;https://digi.com.kh/digihome/en;Speed increases for 3, 5, 10 months payment in advance up to 13mbps
Digi;Business Daylight 6mbps;Fiber;6;;39;t;;30;;https://digi.com.kh/signup-6/en/;Requires 6 - 12 months payment in advance
Digi;Business Daylight 10mbps;Fiber;10;;60;t;;30;;https://digi.com.kh/signup-10/en/;Requires 6 - 12 months payment in advance
Digi;Business Daylight 15mbps;Fiber;15;;90;t;;30;;https://digi.com.kh/signup-15/en/;Requires 6 - 12 months payment in advance
Digi;Business Daylight 20mbps;Fiber;20;;150;t;;30;;https://digi.com.kh/signup-20/en/;Requires 6 - 12 months payment in advance
Metfone;MI1;4G LTE+;7;200;1;t;;;100;http://www.metfone.com.kh/en/internet/home-wireless;1.5Êcents/MB over data usage tariff
Metfone;MI2;4G LTE+;7;600;2;t;;;100;http://www.metfone.com.kh/en/internet/home-wireless;1.5Êcents/MB over data usage tariff
Metfone;MI5;4G LTE+;7;2560;5;t;;;100;http://www.metfone.com.kh/en/internet/home-wireless;1.5Êcents/MB over data usage tariff
Metfone;MI10;4G LTE+;7;5120;10;t;;;100;http://www.metfone.com.kh/en/internet/home-wireless;1.5Êcents/MB over data usage tariff
Metfone;MI20;4G LTE+;7;10240;20;t;;;100;http://www.metfone.com.kh/en/internet/home-wireless;1.5Êcents/MB over data usage tariff
Metfone;MI Unlimited;4G LTE+;7;1024;4;t;;;100;http://www.metfone.com.kh/en/internet/home-wireless;Speed drops to 176kbps after 1Gb of data.
Metfone;Metnet 4;ADSL;4;;12;t;10;;25;http://www.metfone.com.kh/en/internet/adsl;3 months payment required upfront
Metfone;Metnet 6;ADSL;6;;18;t;10;;25;http://www.metfone.com.kh/en/internet/adsl;3 months payment required upfront
Metfone;Metnet 8;ADSL;8;;24;t;10;;25;http://www.metfone.com.kh/en/internet/adsl;3 months payment required upfront
Metfone;Optic8M;Fiber;8;;30;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
Metfone;Optic10M;Fiber;10;;35;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
Metfone;Optic12M;Fiber;12;;40;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
Metfone;Optic16M;Fiber;16;;65;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
Metfone;Optic20M;Fiber;20;;90;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
Metfone;Optic30M;Fiber;30;;180;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
Metfone;Optic50M;Fiber;50;;350;t;20;;20;http://www.metfone.com.kh/en/internet/ftth;Discounts available for advance payments of 3 months or more
